Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
12/17/17 0:00,12/18/17 0:00,0.117,1.906624757,1,0,5007.91944
12/18/17 0:00,12/19/17 0:00,76.15468164,1.148525702,0,118,2414.08056
12/19/17 0:00,12/20/17 0:00,337.2873184,5.645179019,3,123,11935.92281
12/20/17 0:00,12/21/17 0:00,49.35699651,0.898526524,2,94,1962.491983
12/21/17 0:00,12/22/17 0:00,59.02700349,0.892853734,0,132,1970
12/22/17 0:00,12/23/17 0:00,0,3.322114149,2,138,7798
12/23/17 0:00,12/24/17 0:00,191.92,3.678494951,1,149,7886.31127
12/24/17 0:00,12/25/17 0:00,71.41,0.617529954,1,86,1390.68873
12/25/17 0:00,12/26/17 0:00,85.871,2.262749919,0,126,5146.584034
12/26/17 0:00,12/27/17 0:00,0,0.577904346,0,0,1392
12/27/17 0:00,12/28/17 0:00,0,1.373764723,2,0,3400
12/28/17 0:00,12/29/17 0:00,0,1.659797905,0,0,4208
12/29/17 0:00,12/30/17 0:00,1.166,4.353060205,2,0,10760.63514
12/30/17 0:00,12/31/17 0:00,0,2.411483873,1,0,5777
12/31/17 0:00,1/1/18 0:00,0,3.941663729,7,0,9132.450541
1/1/18 0:00,1/2/18 0:00,0,1.978866107,0,0,4917.194452
1/2/18 0:00,1/3/18 0:00,0.06,3.06366897,2,0,7835.355007
1/3/18 0:00,1/4/18 0:00,0,4.300987154,5,0,10393
1/4/18 0:00,1/5/18 0:00,0,2.959861607,3,0,7719
1/5/18 0:00,1/6/18 0:00,0.301,0.070281276,0,0,179
1/6/18 0:00,1/7/18 0:00,0,1.1990301,2,0,3193
1/7/18 0:00,1/8/18 0:00,0,0.051499405,0,0,120
1/8/18 0:00,1/9/18 0:00,222.198,1.939704286,3,130,4006
1/9/18 0:00,1/10/18 0:00,0,0.471783758,1,0,1121
1/10/18 0:00,1/11/18 0:00,52.398,1.635140836,3,171,3523
1/11/18 0:00,1/12/18 0:00,226.924,2.291812978,2,114,4751
1/12/18 0:00,1/13/18 0:00,0,0.081790795,0,0,196
1/13/18 0:00,1/14/18 0:00,98.013,0.931806626,2,123,1957
1/14/18 0:00,1/15/18 0:00,0,0.053651926,0,0,133
1/15/18 0:00,1/16/18 0:00,0,0.009966552,0,0,24
1/16/18 0:00,1/17/18 0:00,93.225,1.0612357,2,139,2231
1/17/18 0:00,1/18/18 0:00,0,1.502558908,5,0,4243
1/18/18 0:00,1/19/18 0:00,2.45,0.962857376,2,0,2346
1/19/18 0:00,1/20/18 0:00,0,0.129455829,0,0,326
1/20/18 0:00,1/21/18 0:00,1.638,0.411193999,0,0,1085
1/21/18 0:00,1/22/18 0:00,0,0.067628425,0,0,166
1/22/18 0:00,1/23/18 0:00,0.041,0.618882069,1,0,1543
1/23/18 0:00,1/24/18 0:00,0,0.862105946,2,0,2256
1/24/18 0:00,1/25/18 0:00,166.87,1.47366262,2,123,3024
1/25/18 0:00,1/26/18 0:00,56.974,0.74334805,1,144,1614
1/26/18 0:00,1/27/18 0:00,241.09,1.61472291,0,92,3388
1/27/18 0:00,1/28/18 0:00,2.474,0.394503094,1,105,1105
1/28/18 0:00,1/29/18 0:00,0.025,0.053273236,0,0,126
1/29/18 0:00,1/30/18 0:00,0,0.715120689,3,0,1890
1/30/18 0:00,1/31/18 0:00,193.447,2.985243465,2,119,5570
1/31/18 0:00,2/1/18 0:00,1.709,0.416194574,1,0,1076
2/1/18 0:00,2/2/18 0:00,2.691,0.682815147,1,0,1907
2/2/18 0:00,2/3/18 0:00,0,0.063616761,0,0,154
2/3/18 0:00,2/4/18 0:00,0,0.023810122,0,0,55
2/4/18 0:00,2/5/18 0:00,0,0.032785471,0,0,74
2/5/18 0:00,2/6/18 0:00,0,0.582344225,0,0,1504
2/6/18 0:00,2/7/18 0:00,0,0.026030947,0,0,61
2/7/18 0:00,2/8/18 0:00,0,1.036883836,4,0,2742
2/8/18 0:00,2/9/18 0:00,0,0.578024067,1,0,1646
2/9/18 0:00,2/10/18 0:00,0,0.023107158,0,0,62
2/10/18 0:00,2/11/18 0:00,0,0.038370572,0,0,92
2/11/18 0:00,2/12/18 0:00,0,0.006033804,0,0,16
2/12/18 0:00,2/13/18 0:00,0,1.310588178,4,0,3591
2/13/18 0:00,2/14/18 0:00,0,0.481868703,2,0,1283
2/14/18 0:00,2/15/18 0:00,0,1.599748466,2,0,3817
2/15/18 0:00,2/16/18 0:00,0.039,0.340043487,2,0,839.6607774
2/16/18 0:00,2/17/18 0:00,0.06,1.16312348,1,0,3122.339223
2/17/18 0:00,2/18/18 0:00,0.073,0.006943664,0,0,16
2/18/18 0:00,2/19/18 0:00,0,0.04020055,0,0,97
2/19/18 0:00,2/20/18 0:00,0,0.62889836,3,0,1507
2/20/18 0:00,2/21/18 0:00,0,0.012007679,0,0,34
2/21/18 0:00,2/22/18 0:00,199.896,1.73770525,2,104,3661
2/22/18 0:00,2/23/18 0:00,0,1.575799291,5,0,3761
2/23/18 0:00,2/24/18 0:00,76.512,0.965769998,1,140,2091
2/24/18 0:00,2/25/18 0:00,0,0.001762035,0,0,4
2/25/18 0:00,2/26/18 0:00,0,0.011221537,0,0,26
2/26/18 0:00,2/27/18 0:00,196.319,1.567813281,3,121,3300.154215
2/27/18 0:00,2/28/18 0:00,0,0.028808381,0,0,66
2/28/18 0:00,3/1/18 0:00,213.265,2.170372289,1,107,4606
3/1/18 0:00,3/2/18 0:00,98.126,1.393680265,3,97,3286
3/2/18 0:00,3/3/18 0:00,0,6.51539346,10,0,16553
3/3/18 0:00,3/4/18 0:00,0,2.874832791,13,0,7725
3/4/18 0:00,3/5/18 0:00,0,2.91776503,1,0,8134
3/5/18 0:00,3/6/18 0:00,0,4.353363584,6,0,11246.61886
3/6/18 0:00,3/7/18 0:00,0,2.883036143,5,0,7171.169832
3/7/18 0:00,3/8/18 0:00,0,0.510719625,1,0,1376.211309
3/8/18 0:00,3/9/18 0:00,0,0.603853907,1,0,1462
3/9/18 0:00,3/10/18 0:00,0,0.104988495,0,0,259
3/10/18 0:00,3/11/18 0:00,0,0.080028946,0,0,199
3/11/18 0:00,3/12/18 0:00,0,0.412490418,1,0,1021
3/12/18 0:00,3/13/18 0:00,0.054,0.076931511,0,0,196
3/13/18 0:00,3/14/18 0:00,0,0.004585212,0,0,11
3/14/18 0:00,3/15/18 0:00,0,1.487011146,7,0,3940
3/15/18 0:00,3/16/18 0:00,0,0.082313192,0,0,207
3/16/18 0:00,3/17/18 0:00,0,0.308752619,1,0,748
3/17/18 0:00,3/18/18 0:00,0,0.0127397,0,0,32
